Rank,ID,Player,Team,Conf,Seed,GP,MPG,PPG,$,R1 Pts,R1 PPG,R1 GP,R2 Pts,R2 PPG,R2 GP,CF Pts,CF PPG,CF GP,Finals Pts,Finals PPG,Finals GP,Total Pts,Total GP
16,3992,James Harden,CLE,E,4,345,34.2,20.2,41,101.2,18.5,5.5,89.9,18,5,44.7,17.9,2.5,18.8,17.6,1.1,254.6,14
17,4432158,Evan Mobley,CLE,E,4,930,32.2,18.1,40,99.1,18.1,5.5,88.3,17.7,5,43.8,17.6,2.5,18.6,17.4,1.1,249.9,14
18,3936299,Jamal Murray,DEN,W,3,1080,35.2,25.6,39,124,22.7,5.5,83.8,22.2,3.8,29.4,22,1.3,8.2,22.3,0.4,245.4,10.9
19,4900671,Ajay Mitchell,OKC,W,1,810,26.1,13.9,38,65.4,13.3,4.9,65.3,13.2,4.9,66.2,12.8,5.2,44.7,12.9,3.5,241.5,18.5
20,4845367,Stephon Castle,SA,W,2,975,29.8,16.6,34,71.5,14.3,5,75.1,14,5.4,57.6,13.6,4.2,24.3,14,1.7,228.5,16.4
21,3934719,OG Anunoby,NY,E,3,960,33.5,16.8,34,93.9,17.4,5.4,85.6,16.8,5.1,32.7,16.9,1.9,14.5,16.5,0.9,226.8,13.3
22,4066354,Payton Pritchard,BOS,E,2,1110,32.6,17,29,65.8,13.5,4.9,66.5,13.2,5.1,46.5,13,3.6,28.9,12.8,2.2,207.7,15.7
23,4594268,Anthony Edwards,MIN,W,6,885,35.3,29.3,28,152.5,28,5.4,43.4,27.5,1.6,7.3,27.3,0.3,1.7,,0.1,204.8,7.3
24,4066328,Jarrett Allen,CLE,E,4,810,27.2,15.4,27,79.9,14.6,5.5,71.1,14.2,5,35.5,14.2,2.5,15.1,14.2,1.1,201.6,14
25,4066457,Austin Reaves,LAL,W,4,765,34.6,23.3,27,111.1,20.1,5.5,82,19,4.3,6.3,19,0.3,0.6,,,200.1,10.2
26,4395702,Isaiah Joe,OKC,W,1,1020,21.3,10.8,26,53.1,10.8,4.9,53,10.7,4.9,53.7,10.4,5.2,36.1,10.4,3.5,195.8,18.5
27,3064290,Aaron Gordon,DEN,W,3,495,27.5,16.3,26,98.7,17.2,5.7,66.7,16.8,4,23.5,16.8,1.4,6.5,16.9,0.4,195.4,11.5
28,1966,LeBron James,LAL,W,4,840,33.4,20.6,25,107.9,19.5,5.5,79.6,18.4,4.3,6.1,18.5,0.3,0.6,,,194.3,10.2
29,3147657,Mikal Bridges,NY,E,3,1170,33.4,14.6,25,79.2,14.7,5.4,72.7,14.3,5.1,27.9,14.4,1.9,12.4,14,0.9,192.2,13.3
30,4395630,Devin Vassell,SA,W,2,930,30.5,14,24,59.1,11.8,5,62.1,11.6,5.4,47.6,11.2,4.2,19.7,11.3,1.7,188.5,16.4
31,6440,Tobias Harris,DET,E,1,885,28,13.1,21,66.5,12.3,5.4,59.5,12,5,36.4,11.8,3.1,15.4,11.6,1.3,177.8,14.8
32,5037871,Dylan Harper,SA,W,2,960,22.5,11.7,21,55.5,11.1,5,57.7,10.7,5.4,44.6,10.5,4.2,18.5,10.7,1.7,176.3,16.4
33,3157465,Duncan Robinson,DET,E,1,1095,27.6,12.1,18,61.8,11.5,5.4,55.3,11.1,5,34,11.1,3.1,14.7,11,1.3,165.9,14.8
34,3202,Kevin Durant,HOU,W,5,1095,36.5,25.8,17,144.5,26.1,5.5,19.1,25.3,0.8,0.2,,,,,,163.9,6.3
35,3062679,Josh Hart,NY,E,3,945,30.2,12.1,17,67.4,12.5,5.4,61.2,12,5.1,23.2,12,1.9,10.5,11.9,0.9,162.3,13.3
36,4684742,Ausar Thompson,DET,E,1,1020,26.1,9.9,15,57.5,10.7,5.4,51.3,10.3,5,31.5,10.2,3.1,13.6,10.2,1.3,154,14.8
37,4397424,Neemias Queta,BOS,E,2,1065,25.4,10,15,48.7,9.5,5.1,49.1,9.2,5.3,34.5,9.2,3.8,21.4,9.1,2.4,153.8,16.6
38,4683747,Jaylon Tyson,CLE,E,4,960,27,13.1,15,60.9,11.1,5.5,54.1,10.8,5,27.1,10.9,2.5,11.3,10.6,1.1,153.5,14
39,4592479,Julian Champagnie,SA,W,2,1155,27.6,11.1,15,47.9,9.6,5,50.5,9.4,5.4,38.7,9.1,4.2,16.3,9.4,1.7,153.4,16.4
